Iteration,CurrentNode,RemainingNodes,Obj,Depth,IntInf,Incumbent,BestBd,Gap,ItPerNode,Time,NewSolution,Log,LogFilePath,Version
0,0,0,49.5,0,43,4,49.5,11.37,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
1,0,0,,,,8,49.5,5.19,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
2,0,0,47.61538,0,51,8,47.61538,4.95,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
3,0,0,,,,16,47.61538,1.98,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
4,0,0,44,0,43,16,44,1.75,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
5,0,0,,,,32,44,0.375,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
6,0,0,43.33333,0,48,32,43.33333,0.354,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
7,0,0,43.33333,0,50,32,43.33333,0.354,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
8,0,0,43.33333,0,38,32,43.33333,0.354,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
9,0,2,43.33333,0,38,32,43.33333,0.354,,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
10,73,54,,13,,34,42,0.235,8.2,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
11,248,103,,13,,36,41,0.139,6.4,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
12,292,104,,11,,38,40.85714,0.0752,6.5,0,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
13,413,,,,,38,38,0,,0.32,,res1lazy,C:\Users\joshu\git\car\car\logs\res1lazy.txt,9.1.2
