Iteration,CurrentNode,RemainingNodes,Obj,Depth,IntInf,Incumbent,BestBd,Gap,ItPerNode,Time,NewSolution,Log,LogFilePath,Version
0,0,0,49.58824,0,72,2,49.58824,23.79,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
1,0,0,,,,24,49.58824,1.07,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
2,0,0,49.33333,0,61,24,49.33333,1.06,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
3,0,0,49.33333,0,59,24,49.33333,1.06,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
4,0,0,49.33333,0,65,24,49.33333,1.06,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
5,0,0,49.33333,0,65,24,49.33333,1.06,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
6,0,0,49.33333,0,64,24,49.33333,1.06,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
7,0,0,49.3061,0,81,24,49.3061,1.05,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
8,0,0,49.3061,0,81,24,49.3061,1.05,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
9,0,0,49.09091,0,72,24,49.09091,1.05,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
10,0,0,49.07692,0,75,24,49.07692,1.04,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
11,0,0,49.07692,0,78,24,49.07692,1.04,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
12,0,0,49.07692,0,76,24,49.07692,1.04,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
13,0,0,49.07692,0,76,24,49.07692,1.04,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
14,0,0,49.07692,0,72,24,49.07692,1.04,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
15,0,2,49.07692,0,72,24,49.07692,1.04,,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
16,56,56,,21,,26,48.8,0.877,13.5,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
17,72,64,,,,30,48.8,0.627,12.4,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
18,165,128,,19,,32,48.66667,0.521,13.6,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
19,257,171,,,,34,48.5,0.426,12.6,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
20,726,301,,16,,36,48,0.333,10.7,0,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
21,2701,705,,29,,38,46,0.211,12.8,1,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
22,10440,,,,,38,38,0,,4.81,,res1paper,C:\Users\joshu\git\car\car\logs\res1paper.txt,9.1.2
