,CurrentNode,RemainingNodes,Obj,Depth,IntInf,Incumbent,BestBd,Gap,ItPerNode,Time,NewSolution,Log,LogFilePath,Version
0,0,0,57.10826,0,205,4,57.10826,13.28,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
1,0,0,,,,13,57.10826,3.39,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
2,0,0,,,,20,57.10826,1.86,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
3,0,0,52.35272,0,296,20,52.35272,1.62,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
4,0,0,51.93051,0,296,20,51.93051,1.6,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
5,0,0,51.90216,0,296,20,51.90216,1.6,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
6,0,0,51.90195,0,295,20,51.90195,1.6,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
7,0,0,50.73385,0,299,20,50.73385,1.54,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
8,0,0,,,,22,50.73385,1.31,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
9,0,0,50.64319,0,297,22,50.64319,1.3,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
10,0,0,50.61632,0,295,22,50.61632,1.3,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
11,0,0,50.61157,0,300,22,50.61157,1.3,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
12,0,0,50.03943,0,305,22,50.03943,1.27,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
13,0,0,49.88226,0,299,22,49.88226,1.27,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
14,0,0,49.85953,0,309,22,49.85953,1.27,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
15,0,0,49.84564,0,309,22,49.84564,1.27,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
16,0,0,49.84032,0,310,22,49.84032,1.27,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
17,0,0,49.15609,0,288,22,49.15609,1.23,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
18,0,0,49.06933,0,297,22,49.06933,1.23,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
19,0,0,49.04206,0,294,22,49.04206,1.23,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
20,0,0,49.03203,0,293,22,49.03203,1.23,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
21,0,0,48.85741,0,298,22,48.85741,1.22,,0,,res2lazy,C:\Users\joshu\git\car\car\logs\res2lazy.txt,9.1.2
