,model,width,height,n_obstacles,obj,runtime,n_lazy,gap,is_infeasible
0,R1L,3,3,0,10.0,0.04399871826171875,9,0.0,False
1,R1P,3,3,0,10.0,0.05099296569824219,,0.0,False
2,R2L,3,3,0,10.0,0.11600112915039062,6,0.0,False
3,R2P,3,3,0,10.0,0.23400306701660156,,0.0,False
4,R1L,3,3,5,-0.0,0.023998260498046875,0,0.0,False
5,R1P,3,3,5,2.0,0.018976211547851562,,0.0,False
6,R2L,3,3,5,-0.0,0.0260009765625,0,0.0,False
7,R2P,3,3,5,2.0,0.019001007080078125,,0.0,False
8,R1L,4,4,0,18.0,0.07400131225585938,64,0.0,False
9,R1P,4,4,0,18.0,0.09300041198730469,,0.0,False
10,R2L,4,4,0,18.0,3.7459983825683594,439,0.0,False
11,R2P,4,4,0,18.0,6.104026794433594,,0.0,False
12,R1L,4,4,5,10.0,0.05300140380859375,6,0.0,False
13,R1P,4,4,5,10.0,0.043003082275390625,,0.0,False
14,R2L,4,4,5,10.0,0.10500144958496094,31,0.0,False
15,R2P,4,4,5,10.0,0.18598365783691406,,0.0,False
